Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Eosinophils	Neutrophils	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	P-value	Correlation	RMSE
GSM972234	0.023172801	0	0.11686403	0	0.020690895	0.130336845	0	0.03466361	0	0	0.053754866	0	0	0	0.013275992	0.238162112	0.042545794	0.176554571	0.026904468	0	0	0.123074016	0.05	0.160455701	1.027930648
GSM972106	0	0	0.088342393	0.141913968	0.151826449	0	0	0.017733514	0.010205432	0	0.084358304	0	0	0	0	0	0.079761685	0.223069471	0.06892706	0.058472102	0	0.075389623	0.048	0.163120985	1.018178611
GSM972115	0	0.073482861	0.146399068	0	0.051424435	0.183872836	0.055287302	0.000685926	0	0	0.094687506	0	0	0	0.013462781	0.058968605	0.024928392	0.083929772	0.041692189	0.036924975	0	0.134253352	0.048	0.16303547	1.020130129
GSM972057	0.007517263	0	0.14935917	0.182645562	0	0	0	0.042269041	0.015650212	0	0.073922982	0	0	0	0.040244654	0.00520857	0.048311524	0.218412728	0.040076045	0.026384517	0	0.149997732	0.046	0.166335911	1.020479845
GSM972198	0.05315239	0	0.188626878	0.06969944	0	0.096064134	0.049374061	0	0.043517594	0	0.094068099	0	0	0.019860238	0	0.039092073	0	0.101630913	0.058867099	0.036783941	0	0.149263142	0.046	0.168135118	1.024841374
GSM972256	0	0	0.2662083	0.074515781	0.096132679	0	0.00884574	0.055136192	0	0	0.114676812	0	0	0	0.034796793	0.068473598	0.004403793	0.039632495	0.024696364	0.025606686	0	0.186874768	0.046	0.167674247	1.045508925
GSM972258	0.042661797	0	0.076872267	0.002737058	0.048373488	0.034721951	0.108191789	0.03086009	0.025914211	0	0.111128947	0	0	0	0.022918569	0.069562629	0.025939019	0.13724477	0.033199168	0.022092171	0	0.207582075	0.046	0.16500966	1.020180179
GSM972271	0.005721842	0	0.103469705	0.211293482	0	0	0.086517234	0.032943871	0.010905299	0	0.103934202	0	0.000910664	0	0.008057432	0.059607639	0.062985541	0.160360357	0.067154464	0.026272538	0	0.059865732	0.046	0.165042742	1.016583473
GSM972306	0.000609812	0.002419565	0.232206766	0.042589958	0.069426716	0.024106357	0.04654913	0.041271224	0	0	0.091407495	0	0	0	0.0294036	0.168770089	0	0.043486699	0.01140115	0.051200901	0	0.145150537	0.046	0.167473143	1.033655473
GSM972430	0.047122523	0	0.204104007	0	0.050183647	0.018618319	0.030150987	0.071715799	0	0.006336525	0.116001999	0	0	0	0.052299911	0.052246795	0.034067087	0.090278928	0	0.062060586	0	0.16481289	0.046	0.165809962	1.030788935
GSM1681361	0.03843663	0	0.195167872	0.10526021	0	0.123405483	0	0.057092796	0.092218597	0.040111478	0.044512907	0	0	0.026981332	0	0	0.008364139	0.097249063	0.078252616	0.014177157	0	0.07876972	0.046	0.166544391	1.030060922
GSM1875897	0	0.05488606	0.179112172	0	0	0.157406315	0	0.015957527	0.098309504	0	0.131500412	0	0.015890234	0	0	0.065907525	0.003841521	0.003916519	0.05437747	0.068443499	0	0.150451241	0.046	0.152578392	1.034342915
GSM1875977	0.038876954	0	0.138753773	0	0.027238913	0.161358026	0.049000793	0.016653106	0	0	0.150063308	0	0	0	0	0.082819822	0	0.128413856	0.022479176	0.047982255	0	0.136360019	0.046	0.151685687	1.026280122
GSM971975	0	0.01210629	0.157590378	0.010485856	0.040678159	0.046181707	0.067281733	0.043889361	0	0	0.091794483	0	0	0	0.035684078	0.221138618	0.016187291	0.108083099	0.004989773	0.007052524	0	0.136856652	0.045	0.172325916	1.022903626
GSM972041	0	0.1350946	0.064840118	0.012174975	0	0.01567195	0.049931496	0.052889859	0	0	0.059959225	0	0	0	0.037288089	0.242938112	0.032641465	0.062931481	0.015954704	0.034203727	0	0.183480201	0.045	0.172823035	1.024616581
GSM972053	0	0.129377594	0.121570839	0.090608386	0	0	0.056774306	0.073500073	0.031762535	0	0.091081459	0	0.024642797	0	0	0.077021989	0.106602161	0.037321442	0.0529024	0.049628339	0	0.05720568	0.045	0.169840692	1.02058542
GSM972118	0	0	0.204991713	0	0.123738516	0.079312722	0	0	0.056142445	0.014350532	0.090611558	0	0	0.060434641	0.000376965	0.031070523	0.004466915	0	0.087490085	0.028235625	0	0.21877776	0.045	0.173598885	1.030143063
GSM972246	0	0.012846654	0.114331777	0.108641773	0.025048066	0.01799463	0.004647336	0.009742578	0.034172753	0	0.107318655	0	0	0	0.006750567	0.064589602	0.085799689	0.239310907	0.027456297	0.054557565	0	0.086791151	0.045	0.171669313	1.016564646
GSM972364	0.031097116	0	0.090010262	0.065487185	0	0.152651983	0	0.013873166	0.037658295	0	0.136080853	0	0	0	0	0.086743153	0.009499514	0.158589288	0	0.017430868	0	0.200878317	0.045	0.174299313	1.022536186
GSM972387	0.033810917	0	0.227060333	0	0.043523618	0.171265359	0.087139829	0	0	0.010903349	0.062222828	0	0	0	0.02603199	0.131313459	0.027418346	0.0174221	7.72E-05	0.043029495	0	0.118781132	0.045	0.173835546	1.028625683
GSM972331	0.029765988	0	0.132339843	0	0.041662825	0.099990487	0.042920674	0.023394526	0.013698836	0.002916867	0.09607935	0	0	0	0	0.203176514	0	0.112636504	0	0.031873748	0	0.169543838	0.043	0.17583278	1.021369601
GSM972368	0.033956805	0	0.188824615	0.105697375	0	0.045965676	0.063155184	0.030567961	0	0	0.092105801	0	0	0	0	0.139108382	0.016503005	0.070623802	0.004504287	0.020568051	0	0.188419057	0.043	0.176419041	1.02879711
GSM1875947	0.019335768	0	0.079889287	0.079209732	0	0.034126293	0	0.025385644	0.012485736	0	0.080983459	0	0	0	0.032263438	0.23511253	0.049847809	0.117124824	0.037121783	0.006562297	0	0.1905514	0.043	0.154040473	1.035405236
GSM972346	0	0.002620815	0.198743174	0.09175933	0	0.084959997	0	0.034352732	0.042139582	0	0.107847398	0	0	0	0.049059425	0.072169815	0.01383546	0.07021475	0.011829165	0.046194989	0	0.174273368	0.042	0.177345105	1.025028842
GSM972147	0	0.013625086	0.056135492	0.017941069	0.029422644	0.032019043	0.113035213	0.089659543	0	0.003659995	0.082149417	0	0	0	0.017501293	0.056110098	0.177631463	0.187785854	0.005437241	0.031812652	0	0.086073899	0.041	0.177903646	1.020973254
GSM972324	0	0.028705957	0.077063306	0	0	0.00480136	0.190553787	0.073060424	0	0.09528678	0.092056351	0.02133993	0	0	0	0.180112838	0.047540571	0.102030461	0.057883667	0	0.000802526	0.028762041	0.041	0.178348553	1.012447345
